Date,Rider_ID,Scheduled_Start,Scheduled_End
2026-06-01,R-127,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-039,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-136,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-021,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-024,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-071,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-030,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-181,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-138,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-107,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-194,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-035,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-145,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-037,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-121,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-144,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-114,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-012,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-051,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-093,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-152,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-128,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-179,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-046,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-112,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-053,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-027,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-002,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-047,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-034,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-191,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-140,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-023,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-172,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-068,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-188,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-019,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-190,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-110,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-142,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-102,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-094,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-156,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-032,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-193,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-157,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-080,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-073,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-025,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-006,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-124,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-131,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-119,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-154,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-052,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-056,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-060,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-105,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-045,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-185,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-132,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-176,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-008,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-150,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-177,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-004,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-133,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-139,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-192,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-018,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-097,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-095,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-066,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-050,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-069,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-170,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-082,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-036,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-005,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-200,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-016,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-044,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-099,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-062,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-171,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-040,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-146,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-184,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-197,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-196,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-169,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-103,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-086,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-011,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-090,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-089,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-123,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-151,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-098,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-091,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-143,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-061,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-010,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-168,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-137,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-020,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-014,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-003,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-031,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-096,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-065,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-158,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-120,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-083,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-108,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-130,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-153,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-057,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-101,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-029,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-026,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-148,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-059,2026-06-01 10:00:00,2026-06-01 20:00:00
2026-06-01,R-129,2026-06-01 10:00:00,2026-06-01 20:00:00
